date,time,symbol,open,high,low,close,volume,oi
31/07/2025,14:39:38,NIFTY,24887.0,24887.0,24887.0,24887.0,675,6501525
31/07/2025,14:39:40,NIFTY,24883.0,24883.0,24883.0,24883.0,75,6501525
31/07/2025,14:39:43,NIFTY,24882.5,24882.5,24882.5,24882.5,75,6501525
31/07/2025,14:39:45,NIFTY,24884.1,24884.1,24884.1,24884.1,75,6501525
31/07/2025,14:39:47,NIFTY,24884.3,24884.3,24884.3,24884.3,450,6501525
31/07/2025,14:39:55,NIFTY,24885.0,24885.0,24885.0,24885.0,75,6501525
31/07/2025,14:39:57,NIFTY,24888.0,24888.0,24888.0,24888.0,225,6501525
31/07/2025,14:39:58,NIFTY,24888.0,24888.0,24888.0,24888.0,75,6501525
31/07/2025,14:40:00,NIFTY,24888.0,24888.0,24888.0,24888.0,825,6501525
31/07/2025,14:40:02,NIFTY,24888.0,24888.0,24888.0,24888.0,75,6501525
31/07/2025,14:40:03,NIFTY,24888.2,24888.2,24888.2,24888.2,150,6501525
31/07/2025,14:40:05,NIFTY,24885.0,24885.0,24885.0,24885.0,300,6501525
31/07/2025,14:40:07,NIFTY,24885.3,24885.3,24885.3,24885.3,300,6501525
31/07/2025,14:40:08,NIFTY,24883.1,24883.1,24883.1,24883.1,150,6501525
31/07/2025,14:40:10,NIFTY,24883.9,24883.9,24883.9,24883.9,450,6501525
31/07/2025,14:40:12,NIFTY,24885.4,24885.4,24885.4,24885.4,75,6501525
31/07/2025,14:40:13,NIFTY,24888.0,24888.0,24888.0,24888.0,225,6501525
31/07/2025,14:40:15,NIFTY,24884.7,24884.7,24884.7,24884.7,150,6501525
31/07/2025,14:40:17,NIFTY,24885.2,24885.2,24885.2,24885.2,75,6501525
31/07/2025,14:40:18,NIFTY,24885.1,24885.1,24885.1,24885.1,75,6501525
31/07/2025,14:40:20,NIFTY,24889.6,24889.6,24889.6,24889.6,75,6501525
31/07/2025,14:40:22,NIFTY,24890.0,24890.0,24890.0,24890.0,450,6501525
31/07/2025,14:40:23,NIFTY,24889.6,24889.6,24889.6,24889.6,75,6501525
31/07/2025,14:40:25,NIFTY,24885.0,24885.0,24885.0,24885.0,375,6501525
31/07/2025,14:40:27,NIFTY,24889.3,24889.3,24889.3,24889.3,150,6501525
31/07/2025,14:40:28,NIFTY,24889.1,24889.1,24889.1,24889.1,600,6501675
31/07/2025,14:40:30,NIFTY,24885.0,24885.0,24885.0,24885.0,75,6501675
31/07/2025,14:40:32,NIFTY,24882.3,24882.3,24882.3,24882.3,300,6501675
31/07/2025,14:40:33,NIFTY,24886.6,24886.6,24886.6,24886.6,375,6501675
31/07/2025,14:40:35,NIFTY,24883.7,24883.7,24883.7,24883.7,150,6501675
31/07/2025,14:40:37,NIFTY,24886.5,24886.5,24886.5,24886.5,150,6501675
31/07/2025,14:40:38,NIFTY,24886.6,24886.6,24886.6,24886.6,675,6501675
31/07/2025,14:40:40,NIFTY,24886.6,24886.6,24886.6,24886.6,300,6501675
31/07/2025,14:40:43,NIFTY,24886.6,24886.6,24886.6,24886.6,750,6501675
31/07/2025,14:40:48,NIFTY,24886.6,24886.6,24886.6,24886.6,225,6501675
31/07/2025,14:40:50,NIFTY,24888.5,24888.5,24888.5,24888.5,300,6501675
31/07/2025,14:40:52,NIFTY,24890.0,24890.0,24890.0,24890.0,75,6501675
31/07/2025,14:40:57,NIFTY,24892.0,24892.0,24892.0,24892.0,525,6501675
31/07/2025,14:40:58,NIFTY,24892.8,24892.8,24892.8,24892.8,225,6501675
31/07/2025,14:41:00,NIFTY,24892.8,24892.8,24892.8,24892.8,300,6501675
31/07/2025,14:41:02,NIFTY,24892.0,24892.0,24892.0,24892.0,300,6501675
31/07/2025,14:41:03,NIFTY,24886.8,24886.8,24886.8,24886.8,1650,6501675
31/07/2025,14:41:05,NIFTY,24886.8,24886.8,24886.8,24886.8,525,6501675
31/07/2025,14:41:07,NIFTY,24884.0,24884.0,24884.0,24884.0,225,6501675
31/07/2025,14:41:09,NIFTY,24880.0,24880.0,24880.0,24880.0,150,6501675
31/07/2025,14:41:10,NIFTY,24873.7,24873.7,24873.7,24873.7,1350,6501675
